Date,Symbol,Open,High,Low,Close,Adj Close,Volume
25/06/2018,BABA,197.850006,198.100006,187.860001,191.25,191.25,32750900
26/06/2018,BABA,193.339996,193.660004,188.419998,191.419998,191.419998,20740400
27/06/2018,BABA,193.460007,193.600006,184.889999,185.020004,185.020004,23887000
28/06/2018,BABA,183.199997,188.960007,182.039993,188.380005,188.380005,19553800
29/06/2018,BABA,185.360001,188.970001,184.259995,185.529999,185.529999,26023400
02/07/2018,BABA,181.660004,186.360001,181.059998,186.360001,186.360001,17325900
03/07/2018,BABA,187.880005,188.5,184.360001,184.75,184.75,11673700
05/07/2018,BABA,187.169998,187.440002,182.899994,186.880005,186.880005,18412100
06/07/2018,BABA,186.009995,192.490005,185.539993,192.270004,192.270004,17035600
09/07/2018,BABA,194.449997,194.690002,190.869995,192.75,192.75,15466400
10/07/2018,BABA,192.889999,195.130005,191.479996,192.550003,192.550003,12611400
11/07/2018,BABA,188.600006,190.050003,187.419998,187.419998,187.419998,15947000
12/07/2018,BABA,190.770004,192.580002,189.789993,190.169998,190.169998,17440400
13/07/2018,BABA,191.610001,192.119995,189.300003,190.039993,190.039993,12550500
16/07/2018,BABA,189.570007,191.369995,189.149994,190.350006,190.350006,12205600
17/07/2018,BABA,188.649994,192.949997,187.899994,192.660004,192.660004,13270700
18/07/2018,BABA,192.449997,193.229996,189.910004,190.789993,190.789993,10796600
19/07/2018,BABA,188.679993,189.679993,186.869995,187.339996,187.339996,13373100
20/07/2018,BABA,189.490005,189.5,186.610001,187.25,187.25,12807500
23/07/2018,BABA,187.179993,187.809998,184.800003,187.039993,187.039993,10996200
24/07/2018,BABA,190.190002,193.070007,188.350006,189,189,18414800
25/07/2018,BABA,190.610001,198.350006,190.139999,197.979996,197.979996,20735400
26/07/2018,BABA,193.210007,196.119995,192.619995,194.179993,194.179993,13885500
27/07/2018,BABA,196.100006,196.270004,186.929993,189.419998,189.419998,19907100
30/07/2018,BABA,190.220001,190.589996,182.059998,184.820007,184.820007,19906300
31/07/2018,BABA,186.399994,188.947998,183.990005,187.229996,187.229996,17016600
01/08/2018,BABA,186,189.059998,183.960007,185.270004,185.270004,14370700
02/08/2018,BABA,181.539993,182.899994,179.779999,182.600006,182.600006,20976500
03/08/2018,BABA,184.149994,184.5,180.080002,180.839996,180.839996,18185100
06/08/2018,BABA,180.699997,180.860001,177.490005,178.619995,178.619995,35419000
07/08/2018,BABA,180.289993,183,179.740005,179.919998,179.919998,20620300
08/08/2018,BABA,180,180.179993,176.550003,177.520004,177.520004,21152400
09/08/2018,BABA,179.309998,180.630005,176.759995,177.190002,177.190002,35207300
10/08/2018,BABA,175.570007,180.449997,174.75,180.009995,180.009995,22049200
13/08/2018,BABA,179.649994,180.649994,177,177.679993,177.679993,14674000
14/08/2018,BABA,175.139999,176.199997,170.770004,172.529999,172.529999,38508600
15/08/2018,BABA,167.110001,169.850006,165.389999,169.830002,169.830002,41278600
16/08/2018,BABA,172.330002,175.699997,171.570007,171.990005,171.990005,34263300
17/08/2018,BABA,172.520004,174.199997,168.380005,172.779999,172.779999,24695400
20/08/2018,BABA,175.220001,178.860001,174.360001,176.289993,176.289993,25900700
21/08/2018,BABA,177.630005,179.669998,176.970001,177.919998,177.919998,20337400
22/08/2018,BABA,178.149994,179.740005,175.5,177.850006,177.850006,27138500
23/08/2018,BABA,184.970001,186.5,171.910004,172.229996,172.229996,78843400
24/08/2018,BABA,175,176.369995,172.449997,174.229996,174.229996,30442800
27/08/2018,BABA,177.100006,180.880005,176.220001,180.649994,180.649994,23533800
28/08/2018,BABA,182.149994,182.380005,177.5,178.190002,178.190002,15319000
29/08/2018,BABA,179.350006,179.660004,176.830002,178.5,178.5,11892600
30/08/2018,BABA,177.330002,178.100006,174.121994,174.600006,174.600006,17086200
31/08/2018,BABA,173.110001,176.681,172.759995,175.009995,175.009995,13730800
04/09/2018,BABA,173.5,173.949997,169,170.440002,170.440002,23450500
05/09/2018,BABA,167.479996,168.279999,162.029999,164.229996,164.229996,35694700
06/09/2018,BABA,164.160004,166.479996,158.669998,159.869995,159.869995,33052000
07/09/2018,BABA,159.949997,164.610001,159.509995,162.369995,162.369995,19452400
10/09/2018,BABA,158.589996,160.720001,155,156.360001,156.360001,39092700
11/09/2018,BABA,153.179993,158.449997,152.850006,157.460007,157.460007,25884100
12/09/2018,BABA,158.199997,162.820007,156.181,161.460007,161.460007,32490500
13/09/2018,BABA,165.410004,167.220001,164.009995,165.529999,165.529999,25696500
14/09/2018,BABA,167.880005,168,163.380997,164.740005,164.740005,23417700
17/09/2018,BABA,161.5,161.649994,158.289001,158.889999,158.889999,20423200
18/09/2018,BABA,156.880005,159.399994,155.520004,156.649994,156.649994,27240600
19/09/2018,BABA,158.820007,163.130005,158.820007,162.630005,162.630005,23028300
20/09/2018,BABA,166.889999,167.699997,164.716003,165.880005,165.880005,22808000
21/09/2018,BABA,169.460007,169.839996,164.5,164.630005,164.630005,22081900
24/09/2018,BABA,162.809998,163.399002,160.100006,163.160004,163.160004,13123400
25/09/2018,BABA,164.050003,165.440002,162.830002,164.25,164.25,9588700
26/09/2018,BABA,165.520004,167.389999,164.869995,165.399994,165.399994,13592500
27/09/2018,BABA,166.389999,167.050003,164.919998,166.320007,166.320007,12689200
28/09/2018,BABA,164.899994,165.660004,163.300003,164.759995,164.759995,10486500
01/10/2018,BABA,165.919998,165.949997,161.559998,162,162,10615200
02/10/2018,BABA,159.789993,161.028,158.270004,160.229996,160.229996,14730500
03/10/2018,BABA,163.149994,164.539993,161.929993,162.369995,162.369995,13118800
04/10/2018,BABA,160.059998,160.080002,153.869995,156.130005,156.130005,32176100
05/10/2018,BABA,156.139999,157.119995,152.25,154.630005,154.630005,20271000
